Country	Year	IT	INFLT	GDPG	EXRR	DEBT	FINDEV	LCBI			
AUS	1985	0	0.0631	5.3252	4	24.1	0.4953	0			
BRA	1985	0	0.6932	7.9459	5	46.091	0.5091	0			
CAN	1985	0	0.0380	4.7801	2	41.6	0.8963	1			
CHL	1985	0	0.2276	7.1192	3	47.3	1.1467	0			
COL	1985	0	0.1939	3.0883	3	48.4315	0.4250	0			
CZE	1985	0	0.0263	4.3447	2	53.5	0.9135	0			
FIN	1985	0	0.0554	3.2805	2	13.945	0.5860	0			
GHA	1985	0	0.0934	5.0916	4	13.879	0.2347	0			
GTM	1985	0	0.1575	-0.6093	5	44.4563	0.3939	0			
HUN	1985	0	0.0655	-0.2531	3	56.1241	0.9663	0			
ISL	1985	0	0.2406	3.2928	3	31.9101	0.4262	0			
IDN	1985	0	0.0452	3.4775	2	32.1742	0.1617	0			
ISR	1985	0	0.7528	3.4478	5	255.3493	1.7519	0			
MEX	1985	0	0.3661	2.5934	5	47.297	0.4991	0			
NZL	1985	0	0.1335	0.7712	3	68.26	0.3081	0			
NOR	1985	0	0.0537	5.3540	3	26.0178	0.5356	0			
PER	1985	0	0.6203	2.8000	5	46.5538	0.2062	0			
PHL	1985	0	0.1877	-7.3066	2	32.862	0.3499	0			
POL	1985	0	0.1033	3.8620	5	41.1631	0.5812	0			
ROU	1985	0	-0.0020	-0.0993	5	46.2279	0.8146	0			
SVK	1985	0	0.0263	3.4984	2	54.7549	0.9458	0			
ZAF	1985	0	0.1401	-1.2115	3	27.6172	0.9681	0			
KOR	1985	0	0.0240	6.8025	2	16.6109	0.5077	0			
ESP	1985	0	0.0811	2.3214	2	39.0459	1.0076	0			
SWE	1985	0	0.0686	2.1897	2	61.235	1.0197	0			
CHE	1985	0	0.0332	3.5132	2	16.0219	1.4533	1			
THA	1985	0	0.0237	4.6472	1	31.9559	0.8451	0			
TUR	1985	0	0.3102	4.2413	5	19.943	0.3989	0			
UK	1985	0	0.0572	3.5994	3	46.9186	0.5331	0			
AUT	1985	0	0.0309	2.1239	1	36.8606	1.0097	1			
BEL	1985	0	0.0464	1.6518	1	99.9131	0.6388	1			
DNK	1985	0	0.0444	4.0245	2	71.5409	0.6155	1			
FRA	1985	0	0.0551	1.7088	2	30.609	0.8684	0			
