ID_SAMPLE,PREDICTOR,EST_COEF,STD_ERROR,Z_VALUE,P_VALUE,MODEL_LOG_LIK_LM,MODEL_N,WALD_TEST_SDEPENDANCE_PVALUE,LR_TEST_SDEPENDANCE_PVALUE
A99_W97q4_creW_b97q4_s01q4,(Intercept),1.298766911,0.239445784,5.424054209,5.83E-08,-23.53872123,78,0.903467072,0.902751228
A99_W97q4_creW_b97q4_s01q4,ActivoN,1.87E-08,1.59E-08,1.178114318,0.238751035,-23.53872123,78,0.903467072,0.902751228
A99_W97q4_creW_b97q4_s01q4,C8Est_w,-5.72E-04,0.003298429,-0.173360324,0.86236821,-23.53872123,78,0.903467072,0.902751228
A99_W97q4_creW_b97q4_s01q4,CAR_IRR_3A6,-0.006825442,0.005207897,-1.310594711,0.189994727,-23.53872123,78,0.903467072,0.902751228
A99_W97q4_creW_b97q4_s01q4,P_ROA,0.017229069,0.014535115,1.185341127,0.235882599,-23.53872123,78,0.903467072,0.902751228
A99_W97q4_creW_b97q4_s01q4,P_DEP_ARS_RATE,-0.037481034,0.015612706,-2.400675047,0.016364862,-23.53872123,78,0.903467072,0.902751228
A99_W97q4_creW_b97q4_s01q4,P_LOANS_ARS_RATE_W,0.006305851,0.004845374,1.30141678,0.193115833,-23.53872123,78,0.903467072,0.902751228
A99_W97q4_creW_b97q4_s01q4,APRSpNF_RATE_W,-0.001285717,0.004859309,-0.264588393,0.791326563,-23.53872123,78,0.903467072,0.902751228
A99_W97q4_creW_b97q4_s01q4,APR_USD_RATE,-0.002926098,0.0019233,-1.521394708,0.128160816,-23.53872123,78,0.903467072,0.902751228
A99_W97q4_creW_b97q4_s01q4,APR_RATE_W,-0.003333139,0.002634399,-1.26523708,0.205786354,-23.53872123,78,0.903467072,0.902751228
A99_W97q4_creW_b97q4_s01q4,rho,0.010265447,0.084640608,0.121282763,0.903467072,-23.53872123,78,0.903467072,0.902751228
A99_W97q4_creW_b97q4_s03q4,(Intercept),1.313410854,0.295248075,4.448499298,8.65E-06,-40.2732637,78,0.585081088,0.586683657
A99_W97q4_creW_b97q4_s03q4,ActivoN,3.20E-08,1.96E-08,1.628021721,0.10352028,-40.2732637,78,0.585081088,0.586683657
A99_W97q4_creW_b97q4_s03q4,C8Est_w,0.003378399,0.004080181,0.828002264,0.407669218,-40.2732637,78,0.585081088,0.586683657
A99_W97q4_creW_b97q4_s03q4,CAR_IRR_3A6,-0.012710005,0.006435386,-1.975018456,0.048266054,-40.2732637,78,0.585081088,0.586683657
A99_W97q4_creW_b97q4_s03q4,P_ROA,0.008515293,0.017967315,0.473932436,0.635548088,-40.2732637,78,0.585081088,0.586683657
A99_W97q4_creW_b97q4_s03q4,P_DEP_ARS_RATE,-0.008333888,0.019304989,-0.431696089,0.66596231,-40.2732637,78,0.585081088,0.586683657
A99_W97q4_creW_b97q4_s03q4,P_LOANS_ARS_RATE_W,0.003271014,0.005998782,0.545279756,0.585561125,-40.2732637,78,0.585081088,0.586683657
A99_W97q4_creW_b97q4_s03q4,APRSpNF_RATE_W,-0.004859016,0.006010889,-0.808369032,0.418878174,-40.2732637,78,0.585081088,0.586683657
A99_W97q4_creW_b97q4_s03q4,APR_USD_RATE,-0.006472917,0.002378205,-2.721766165,0.006493407,-40.2732637,78,0.585081088,0.586683657
A99_W97q4_creW_b97q4_s03q4,APR_RATE_W,-0.004397997,0.003253604,-1.351730952,0.1764614,-40.2732637,78,0.585081088,0.586683657
A99_W97q4_creW_b97q4_s03q4,rho,0.061593246,0.112812696,0.545977959,0.585081088,-40.2732637,78,0.585081088,0.586683657
A98_W97q4_creW_b97q4_s01q4,(Intercept),0.845693005,0.269436483,3.138747197,0.001696718,-43.6203523,88,0.724001549,0.731068314
A98_W97q4_creW_b97q4_s01q4,ActivoN,3.42E-08,2.06E-08,1.664630391,0.095986518,-43.6203523,88,0.724001549,0.731068314
A98_W97q4_creW_b97q4_s01q4,C8Est_w,0.001770791,0.004304773,0.411355318,0.680812012,-43.6203523,88,0.724001549,0.731068314
A98_W97q4_creW_b97q4_s01q4,CAR_IRR_3A6,-0.006854235,0.007829655,-0.875419788,0.381345537,-43.6203523,88,0.724001549,0.731068314
A98_W97q4_creW_b97q4_s01q4,P_ROA,0.023183088,0.017893571,1.295609891,0.19510992,-43.6203523,88,0.724001549,0.731068314
A98_W97q4_creW_b97q4_s01q4,P_DEP_ARS_RATE,0.007380066,0.015229209,0.48459946,0.627960497,-43.6203523,88,0.724001549,0.731068314
A98_W97q4_creW_b97q4_s01q4,P_LOANS_ARS_RATE_W,-0.002221734,0.006510393,-0.34125965,0.732908121,-43.6203523,88,0.724001549,0.731068314
A98_W97q4_creW_b97q4_s01q4,APRSpNF_RATE_W,0.006811303,0.006321075,1.077554519,0.281232608,-43.6203523,88,0.724001549,0.731068314
A98_W97q4_creW_b97q4_s01q4,APR_USD_RATE,-0.003062579,0.002275052,-1.346157509,0.178251725,-43.6203523,88,0.724001549,0.731068314
A98_W97q4_creW_b97q4_s01q4,APR_RATE_W,4.84E-04,0.003134148,0.154453697,0.877252017,-43.6203523,88,0.724001549,0.731068314
A98_W97q4_creW_b97q4_s01q4,rho,0.033844422,0.095845079,0.353115906,0.724001549,-43.6203523,88,0.724001549,0.731068314
A98_W97q4_creW_b97q4_s03q4,(Intercept),0.988882491,0.284090874,3.480866802,5.00E-04,-49.04647643,88,0.877710062,0.878047945
A98_W97q4_creW_b97q4_s03q4,ActivoN,3.96E-08,2.19E-08,1.810671963,0.070191645,-49.04647643,88,0.877710062,0.878047945
A98_W97q4_creW_b97q4_s03q4,C8Est_w,0.002370286,0.004585855,0.516869004,0.605247606,-49.04647643,88,0.877710062,0.878047945
A98_W97q4_creW_b97q4_s03q4,CAR_IRR_3A6,-0.013779686,0.0083257,-1.655078378,0.0979086,-49.04647643,88,0.877710062,0.878047945
A98_W97q4_creW_b97q4_s03q4,P_ROA,0.032559419,0.019038418,1.710195612,0.087229707,-49.04647643,88,0.877710062,0.878047945
A98_W97q4_creW_b97q4_s03q4,P_DEP_ARS_RATE,0.018129856,0.016209678,1.118458732,0.263371122,-49.04647643,88,0.877710062,0.878047945
A98_W97q4_creW_b97q4_s03q4,P_LOANS_ARS_RATE_W,8.44E-04,0.006918608,0.122047468,0.902861425,-49.04647643,88,0.877710062,0.878047945
A98_W97q4_creW_b97q4_s03q4,APRSpNF_RATE_W,-7.30E-04,0.006721114,-0.10859253,0.913525686,-49.04647643,88,0.877710062,0.878047945
A98_W97q4_creW_b97q4_s03q4,APR_USD_RATE,-0.004285373,0.002421048,-1.770048707,0.076719027,-49.04647643,88,0.877710062,0.878047945
A98_W97q4_creW_b97q4_s03q4,APR_RATE_W,-0.004439995,0.003336876,-1.330584178,0.183325871,-49.04647643,88,0.877710062,0.878047945
